JobID	Cost
15232640	38.75
15232688	11.00
15232968	97.57
15232995	996.35
15233290	24.33
15233614	33.24
15241444	177.50
15241512	26.40
15242277	130.85
15242815	65.60
15242875	166.00
15244001	None
15244171	47.50
15245016	324.53
15245994	27.35
15246731	28.67
15246764	108.30
15247176	84.29
15248166	66.80
15249329	88.67
15250286	381.55
15250933	5585.70
15251630	39.50
15252012	108.83
15252262	816.76
15252587	463.10
15253509	123.33
15253857	39.30
15253957	26.52
15254175	208.33
15254270	75.62
15254289	77.05
15254310	316.90
15254408	300.67
15254460	72.24
15254879	110.80
15255481	73.52
15255959	50.00
15256824	54.95
15257414	431.40
15257436	404.70
15257588	351.95
15259126	380.95
15259822	1103.57
15260462	326.20
15260536	113.95
15260856	30.40
15261949	27.17
15263347	72.77
15263590	57.00
15263819	280.60
15264043	27.90
15264091	111.93
15264202	24.50
15264607	30.10
15264632	49.14
15266880	39.10
15268808	1023.35
15269193	94.86
15269655	115.65
15271554	40.70
15272715	52.67
15272737	32100.43
15274068	431.20
15274093	122.85
15275108	53.00
15275639	88.95
15275688	79.25
15275771	369.90
15276139	109.60
15276383	None
15276535	59.18
15276779	50.00
15277563	81.27
15278511	28.57
15278693	27.64
15278827	30.57
15280466	27.00
15281205	31.47
15281873	1233.33
15283460	117.83
15284087	34.67
15284799	516.83
15285290	26.70
15285945	28.24
15287277	65.10
15287940	28.62
15296213	32.43
15297786	97.60
15297838	46.45
15298285	586.25
15299170	37.89
15299344	33.47
15299416	26.39
15299980	27.40
15300047	103.90
15300966	169.45
15301544	34.20
15301695	31.30
15301776	45.81
15302048	277.80
15304503	1080.00
15304527	17.35
15304723	100000.00
15304755	1150.00
15304801	61.10
15305061	93.95
15305390	76.25
15305511	112.14
15305654	62.55
15305948	1462.73
15307032	43.29
15309376	96.23
15309528	7.50
15310889	None
15311105	6879.95
15311178	5632.41
15312475	3975.86
15312482	5637.05
15313569	108.62
15315422	5.50
15315440	42.10
15316123	93.40
15316623	307.00
15318100	133.43
15318170	53.21
15318349	67.40
15318391	118.00
15318465	40.70
15318849	350.00
15319653	1687.30
15319789	24.11
15321228	1730.71
15321540	35.10
15321547	2900.00
15322730	117.95
15323677	81.55
15323818	47.38
15324478	43.62
15326483	4.90
15326559	25.55
15326713	327.55
15326746	145.38
15327133	5.62
15329293	12.00
15330536	3245.57
15330875	33.75
15331004	35.75
15333766	140.33
15334033	144.00
15339365	22.00
15340215	108.24
15340281	43.00
15340542	935.50
15340818	52857.78
15340897	35.90
15341779	88.00
15349948	74.50
15350547	2205.44
15350636	143.67
15351591	9.80
15351835	49.71
15352793	56.95
15352974	85.71
15353764	55.48
15354122	181.33
15354142	43.75
15354741	282.45
15355675	23.64
15356234	3364.30
15356309	1914.57
15356922	12243.58
15364567	122.75
15364578	48.35
15365103	4.79
15365792	31.65
15366901	64.10
15366907	95.15
15366923	19.42
15367422	2296.00
15368024	47.52
15368789	106.11
15369005	9299.94
