JobID	Cost
12336380	123.71
12342694	177.48
12342905	135.29
12545909	139.05
12585274	80.17
12616005	58.14
12665337	125.94
12691948	59.75
12699110	45.43
12699446	33.95
12716991	86.38
12722917	64.95
12742222	40.23
12756602	144.60
12766344	151.48
12769987	31.81
12777632	493.86
12817142	28.45
12830900	59.56
12833685	82.05
12851923	114.33
12856904	134.62
12860937	118.26
12863537	42.21
12888525	71.22
12888667	92.19
12948533	75.67
12952540	112.38
12959227	128.00
12977677	71.88
12986052	33.19
12988853	89.05
13001916	149.95
13004485	55.57
13012592	41.92
13018869	37566.67
13021862	30.83
13031711	129.89
13047628	303.44
13085888	85.43
13087075	33.00
13093721	30.80
13108189	264.67
13109721	44.67
13125079	112.30
13165905	1000.62
13166011	146.06
13176579	80.32
13185786	146.95
13188856	113.10
13198540	292.05
13207113	53.48
13264335	93.83
13274716	1409.21
13289758	75.38
13309877	114.69
13341636	97.95
13385043	68.00
13385439	204.15
13389330	109.63
13403860	91.00
13440505	147.70
13450438	254.29
13462093	158.71
13477693	68.57
13499948	128.50
13500180	192.81
13513914	42.67
13535981	40.82
13536950	151.50
13540674	87.43
13542953	120.25
13567793	49.62
13570916	199.75
13571067	106.00
13586077	75.14
13592114	39.89
13596850	56.29
13627425	122.81
13664773	41.27
13676175	115.42
13703705	7.50
13720226	133.43
13752392	161.94
13767774	30.81
13789732	43.71
13793423	121.57
13797724	123.62
13822882	89.43
13873023	114.86
13927018	159.50
13927639	96.05
13928839	223.00
13932749	453.55
13934496	85.71
13937912	1203.90
13941323	111.56
13945604	146.19
13948299	71.95
13961948	101.55
13966130	50.57
13972607	111.48
13973451	None
13984069	185.33
13994777	248.12
14010633	129.12
14012508	30.73
14012766	119.19
14014019	143.23
14037776	109.95
14051808	35.00
14053104	91.70
14083434	157.29
14086615	51.50
14089731	20.71
14109653	106.38
14117410	35.82
14118798	117.57
14127027	131.14
14154513	145.48
14199253	104.90
14199505	83.62
14201008	216.43
14201178	31.19
14205059	31.36
14215372	30.05
14220526	47.95
14237653	47.50
14245181	38.75
14257127	37.19
14262990	115.21
14266516	35.00
14267375	121.50
14267824	23.33
14274718	58.57
14278733	42.67
14286085	4.38
14287024	46.14
14308128	77.95
14318564	57.78
14322189	119.52
14345158	45.33
14346139	5623.33
14348540	303.86
14352679	47.76
14381961	95.86
14396783	238.78
14417978	28.89
14424569	49.10
14446951	6.90
14472893	31.36
14499334	101.43
14519779	134.05
14537801	134.71
14555881	154.23
14568494	87.67
14585602	124.21
14611935	125.42
14614161	41.04
14638044	477.33
14654174	113.80
14655587	68.89
14723542	136.19
14730420	115.33
14747104	37.05
14747220	57.90
14755522	24.83
14759895	124.86
14760277	53.92
14804607	1235.24
14814949	35.90
14926830	37.00
14927601	37.50
14971901	33.00
14977637	83.19
14983133	135.10
14992851	44.10
15016552	120.43
15050126	27.60
15050737	152.50
15053203	134.87
15065798	29.36
15072168	80.00
15073551	79.81
15093534	118.33
15094340	235.43
15102363	422.20
15112910	284.62
15122172	549.67
15159188	154.52
15208726	42.21
15267766	24.31
15276669	78.00
15315984	147.30
15335550	47.62
15344029	58.19
15379532	25.89
15394799	101.90
15447511	43.10
15449771	38.63
15560850	96.24
15630821	122.86
15648285	40.25
15683978	15729.43
15712934	26.00
15717401	831.00
15748591	100.57
15751212	24.71
15753269	34.25
15758654	137.46
15760345	44.69
15769036	218.08
15775594	46.45
15779676	47.79
15821138	110.67
15846728	106.81
15847123	139.82
15858556	31.56
15870483	34.00
15872858	212.62
15894139	65.18
15895356	33.17
15998086	96.57
15999306	26.50
16011265	135.33
16022883	116.67
16023420	45.00
16024623	179.57
16025412	68.24
16038601	98.24
16045371	207.57
16049475	28.33
16083988	107.00
16088183	60.95
16091242	31.80
16098986	26.95
16101508	100.43
16105920	151.36
16129806	116.10
16151271	498.92
16157940	298.14
16170971	94.65
16177631	66.73
16177755	1394.44
16182328	98.76
16190001	83.05
16216837	125.76
16231786	29.71
16233736	192.00
16233825	27.00
16252828	93.47
16259930	166.00
16294024	22120.50
16300470	81.86
16314327	57.25
16314931	35.71
16342909	101.90
16381960	113.90
16390965	151.68
16397991	205.00
16405916	27.62
16416099	37.24
16418512	23.71
16479597	35.89
16483394	112.86
16486607	90.62
16490354	62.29
16497545	33.59
16503472	30.00
16529106	23.50
16530513	26.84
16562393	44.86
16574351	7036.67
16577976	958.75
16578163	345.88
16585616	76.75
16585948	120.50
16591624	101.86
16593518	88.19
16601368	138.06
16614134	179.42
16615365	167.00
16615511	26.05
16618714	126.80
16631516	54.95
16636767	379.00
16670921	67.82
16678301	39.22
16714686	14.81
16715085	82.57
16731140	25.71
16733519	425.45
16740129	3335.90
16754924	150.83
16759265	204.60
16765236	34.05
16765730	34.45
16774352	39.72
16777643	104.76
16825832	167.19
16851878	103.47
16913666	26.67
16916973	102.19
16919314	107.59
16936809	140.55
16946538	82.67
16947624	26.67
16952573	87.76
16955266	377.52
16979869	121.52
16981402	70.73
16990277	95.29
16992443	172.89
17000425	97.90
17011760	122.40
17016417	94.50
17021701	188.40
17034753	335.86
17072677	255.90
17090435	57.14
17090809	367.77
17097607	166.76
17103177	27.76
17103566	37.14
17109656	1078.71
17110257	664.90
17113832	16.05
17122715	282.53
17133662	342.67
17140757	37.27
17153298	98.43
17160858	97.91
17180945	97.10
17199908	211.33
17214214	29.44
17218254	1650.00
17218896	101.62
17236209	34.00
17239943	8427.30
17245119	133.00
17257013	351.33
17257248	89.27
17280096	26.46
17321542	105.00
17330167	2367.00
17346405	109.43
17351340	410.57
17353110	34.76
17369630	361.00
17371194	110.43
17383578	112.67
17440807	59.52
17447976	119.10
17448110	358.76
17462980	88.89
17463693	91.67
17470540	50.10
17485286	27.00
17486300	96.76
17499826	119.05
17506299	39.43
17520922	136.57
17530081	370.26
17537784	29.00
17537911	100.14
17539638	92.29
17559526	182.20
17559975	34.38
17565702	168.95
17580935	85.45
17584150	120.43
17584702	60.14
17606261	121.48
17614728	611.24
17626676	145.00
17656277	78.05
17656958	420.33
17681933	68.19
17682524	54.52
17684842	98.00
17686555	72.52
17694140	71.43
17701717	29.94
17702375	102.33
17706288	97.60
17713601	79.54
17727110	73.10
17732054	44.29
17739043	137.90
17748283	124.62
17752669	328.82
17756027	39.64
17777925	106.43
17780198	279.64
17780990	533.95
17787846	194.54
17789966	51.88
17792537	43.24
17796082	56.45
17797852	40.43
17798241	77.00
17807937	41.00
17808050	96.86
17811413	162.35
17812286	51.52
17812301	29.59
17821147	33.43
17823202	27.14
17824991	25.00
17836282	80.62
17837201	113.05
17837916	191.19
17843161	335.29
17843190	108.29
17844700	97.88
17850248	116.14
17853810	33.47
17854234	166.11
17854724	184.29
17868954	96.81
17875473	100.52
17877408	117.29
17877514	57.95
17877608	51.19
17882151	62.52
17884267	64.43
17891543	11.83
17895910	101.08
17896071	137.33
17899006	37.60
17900613	136.62
17909191	34.60
17913045	143.90
17914051	101.71
17919361	125.22
17919984	94.81
17931792	180.83
17937739	30.11
17942637	29.29
17945461	33.75
17946972	85.05
17950673	107.43
17952376	70.29
17955848	93.48
17956423	26.67
17960928	48.81
17963760	165.27
17964145	79.00
17968724	33.57
17969757	82.12
17971778	None
17978115	56.43
17978369	84.73
17980993	39.29
17985501	27.09
17992102	106.24
18001073	50.48
18011591	90.00
18015640	46.14
18040057	42.14
18046553	119.57
18048796	75.76
18050748	95.00
18061458	72.95
18063527	52.00
18070047	130.71
18076178	71.71
18076312	30.63
18081011	208.10
18089593	49.38
18099789	353.52
18104631	101.37
18108236	110.39
18108505	89.36
18111908	114.38
18116221	66.53
18117742	32.89
18121900	106.63
18123873	38.57
18145341	91.43
18168540	95.09
18176784	117.84
18180692	22.67
18182321	121.57
18189741	89.55
18192941	45.19
18194360	53.10
18206408	95.48
18209123	50.55
18212880	84.62
18217746	94.57
18231819	104.33
18236747	100.24
18250461	138.33
18256634	122.12
18256687	45.12
18278231	68.80
18285732	107.38
18287093	113.33
18287516	94.86
18290587	76.00
18302460	64.24
